timestamp,inference_ms,anomaly_score
1773573618.900287,0.575329,6.2712531089782715
1773573618.906704,0.451589,30.38516616821289
1773573618.9129379,0.448015,6.481144905090332
1773573619.1826432,0.471329,35.38116455078125
1773573619.1939027,0.460848,6.487880706787109
1773573619.6178105,0.463515,40.37821578979492
1773573619.6290731,0.445311,6.4925994873046875
1773573620.052981,0.443478,45.37620162963867
1773573620.0644066,0.446626,6.496164798736572
1773573620.488218,0.446607,50.3748893737793
1773573620.4994676,0.464256,6.698577880859375
1773573620.923385,0.441348,4.837360858917236
1773573620.9347491,0.445144,6.698577880859375
1773573621.3587441,0.470478,9.78419303894043
1773573621.3699315,0.441515,6.698577880859375
1773573621.7938404,0.470682,14.725992202758789
1773573621.8051069,0.441737,6.698577404022217
1773573622.2290657,0.45633,19.664554595947266
1773573622.2404642,0.450478,6.898285865783691
1773573622.6643739,0.449385,24.395078659057617
1773573622.6756165,0.445682,6.862649440765381
1773573623.0995672,0.446367,29.388290405273438
1773573623.1108308,0.439996,6.874218940734863
1773573623.5413508,0.83803,34.38364028930664
1773573623.555041,0.960196,7.0823187828063965
1773573623.9784882,0.93077,39.3802604675293
1773573623.994311,1.04025,7.088042736053467
1773573624.4136412,0.937566,44.377681732177734
1773573624.429393,0.936807,7.092344760894775
1773573624.8488019,0.923992,49.375831604003906
1773573624.8645124,0.983214,7.095653533935547
1773573625.2841423,0.989455,3.8510582447052
1773573625.2998471,0.993381,7.295329570770264
1773573625.7191541,0.91603,8.797133445739746
1773573625.7348595,0.92827,7.295329570770264
1773573626.1536446,0.823141,13.738616943359375
1773573626.1673717,0.876937,7.295329570770264
1773573626.5899687,0.910751,18.67477798461914
1773573626.6059039,0.929271,7.494994640350342
1773573627.0250742,0.915641,23.39971923828125
1773573627.0408278,0.930974,7.474886417388916
1773573627.4603696,0.97251,28.391712188720703
1773573627.4784117,0.933159,7.465205669403076
1773573627.8953822,0.930678,33.38631820678711
1773573627.911156,0.941567,7.476377010345459
1773573628.330741,0.928992,38.382442474365234
1773573628.3439047,0.746827,7.683223724365234
1773573628.7659333,0.927585,43.379520416259766
1773573628.7817595,0.952214,7.688170909881592
1773573629.2014754,0.938177,48.377201080322266
1773573629.2178059,0.930307,7.692131996154785
1773573629.6363876,0.956714,53.375526428222656
1773573629.6520228,0.993918,7.695218563079834
1773573630.0717335,0.981029,7.812528133392334
1773573630.0874581,0.926677,7.89491605758667
1773573630.5070152,0.955881,12.76158332824707
1773573630.5227652,0.939511,7.89491605758667
1773573630.9422543,0.946307,17.70323371887207
1773573630.9582095,0.932918,7.89491605758667
1773573631.3774092,0.92864,22.64789581298828
1773573631.3931785,0.933881,8.0946044921875
1773573631.8124757,0.97827,27.39546775817871
1773573631.826496,0.760846,8.063551902770996
1773573632.24994,0.945326,32.38921356201172
1773573632.2657545,0.934252,8.068827629089355
1773573632.6831055,0.926159,37.3847770690918
1773573632.7011652,0.932474,8.07802963256836
1773573633.118552,0.948122,42.38147735595703
1773573633.1343472,0.938067,8.283942222595215
1773573633.5536058,0.9209,47.378883361816406
1773573633.569215,0.936122,8.288275718688965
1773573633.9888124,0.916141,52.37678146362305
1773573634.0045135,0.99064,8.291951179504395
1773573634.4241855,0.953159,6.824440002441406
1773573634.4399455,1.035732,8.491608619689941
1773573634.859257,0.918715,11.773712158203125
1773573634.874912,0.934437,8.491608619689941
1773573635.2945213,0.925029,16.714696884155273
1773573635.3076422,0.748642,8.491608619689941
1773573635.7298532,0.926529,21.656320571899414
1773573635.745663,0.93064,8.491608619689941
1773573636.1636667,0.868974,26.39960289001465
1773573636.1773891,0.838623,8.686427116394043
1773573636.600288,0.964825,31.39235496520996
1773573636.615926,1.005084,8.661391258239746
1773573637.0354033,0.919104,36.38728713989258
1773573637.0544717,1.199916,8.671560287475586
1773573637.470754,0.930844,41.383548736572266
1773573637.486493,0.957103,8.679332733154297
1773573637.905503,0.81892,46.380653381347656
1773573637.9190633,0.878863,8.884529113769531
1773573638.3413384,0.944399,51.37831497192383
1773573638.357145,0.954159,8.888384819030762
1773573638.7765646,0.978954,5.837703704833984
1773573638.7923033,0.980899,8.888384819030762
1773573639.2116542,0.967973,10.786221504211426
1773573639.227351,0.941862,9.088117599487305
1773573639.6468706,0.925307,15.726492881774902
1773573639.6625597,0.920141,9.088117599487305
1773573640.0821865,0.925011,20.66570472717285
