timestamp,inference_ms,loss_score,is_anomaly
1773573000.484537,0.288886,28.31986427307129,1
1773573000.487704,0.269646,19.1851863861084,1
1773573000.4906206,0.245683,33.3193473815918,1
1773573000.4935563,0.238498,19.38518714904785,1
1773573000.7347739,0.237238,38.31855010986328,1
1773573000.7460918,0.235313,19.585187911987305,1
1773573001.1700525,0.244331,43.31779098510742,1
1773573001.1814213,0.254313,19.585187911987305,1
1773573001.605296,0.233553,48.316715240478516,1
1773573001.616647,0.273443,19.785186767578125,1
1773573002.0406318,0.274664,53.31583786010742,1
1773573002.0519998,0.241184,19.98518943786621,1
1773573002.4757917,0.244165,7.3053107261657715,1
1773573002.487069,0.249238,20.18518829345703,1
1773573002.9117289,0.328701,12.325248718261719,1
1773573002.923045,0.339701,20.18518829345703,1
1773573003.3492506,0.582051,17.320051193237305,1
1773573003.360523,0.555181,20.385190963745117,1
1773573003.7843168,0.556125,22.318946838378906,1
1773573003.7956524,0.539532,20.585189819335938,1
1773573004.2196782,0.556625,27.319522857666016,1
1773573004.2308202,0.514755,20.585189819335938,1
1773573004.654838,0.557754,32.31962203979492,1
1773573004.666077,0.596588,20.785188674926758,1
1773573005.0900962,0.679161,37.318946838378906,1
1773573005.1013515,0.559496,20.98518943786621,1
1773573005.5252512,0.55657,42.31826400756836,1
1773573005.5366032,0.554329,20.98518943786621,1
1773573005.9604928,0.55031,47.31754684448242,1
1773573005.9718359,0.553181,21.18518829345703,1
1773573006.3984032,0.558866,52.316585540771484,1
1773573006.4070823,0.562773,21.385189056396484,1
1773573006.8308918,0.552051,6.278158664703369,1
1773573006.8422213,0.62505,21.385189056396484,1
1773573007.2662325,0.65642,11.317543029785156,1
1773573007.2774477,0.54481,21.585189819335938,1
1773573007.7013986,0.562588,16.324377059936523,1
1773573007.7126868,0.53944,21.785192489624023,1
1773573008.1367464,0.559828,21.31781578063965,1
1773573008.1480238,0.546718,21.985191345214844,1
1773573008.571974,0.558347,26.319034576416016,1
1773573008.5831547,0.549847,21.985191345214844,1
1773573009.007073,0.545847,31.319366455078125,1
1773573009.018433,0.533495,22.185192108154297,1
1773573009.4423401,0.546402,36.319332122802734,1
1773573009.4536064,0.547366,22.385190963745117,1
1773573009.8774765,0.553848,41.31862258911133,1
1773573009.8888237,0.553069,22.385190963745117,1
1773573010.3129182,0.558162,46.31803512573242,1
1773573010.3241606,0.549718,22.58519172668457,1
1773573010.7479992,0.557532,51.31734085083008,1
1773573010.7597294,0.554254,22.785192489624023,1
1773573011.1832805,0.524385,5.226160049438477,1
1773573011.194523,0.537125,22.785192489624023,1
1773573011.6184843,0.549365,10.312312126159668,1
1773573011.6297264,0.558755,22.98518943786621,1
1773573012.053659,0.561496,15.325355529785156,1
1773573012.0650005,0.549236,23.185190200805664,1
1773573012.48892,0.555458,20.318607330322266,1
1773573012.500184,0.545069,23.185190200805664,1
1773573012.9240277,0.544495,25.318357467651367,1
1773573012.935356,0.546921,23.385190963745117,1
1773573013.3592532,0.549458,30.319005966186523,1
1773573013.3705976,0.550328,23.58519172668457,1
1773573013.7944405,0.542107,35.319217681884766,1
1773573013.8057287,0.60555,23.785192489624023,1
1773573014.2297142,0.616032,40.3189697265625,1
1773573014.240943,0.541422,23.785192489624023,1
1773573014.664875,0.55944,45.318359375,1
1773573014.676203,0.546033,23.985191345214844,1
1773573015.100221,0.613847,50.31783676147461,1
1773573015.111286,0.538421,24.185192108154297,1
1773573015.5352569,0.525088,55.317169189453125,1
1773573015.5465586,0.541681,24.185192108154297,1
1773573015.9704132,0.528829,9.311532974243164,1
1773573015.981695,0.596366,24.385190963745117,1
1773573016.4055626,0.565032,14.320399284362793,1
1773573016.416834,0.547162,24.58519172668457,1
1773573016.840705,0.556477,19.322036743164062,1
1773573016.8520765,0.550496,24.58519172668457,1
1773573017.2760508,0.560366,24.317129135131836,1
1773573017.2871537,0.522552,24.785192489624023,1
1773573017.7110372,0.538995,29.31852149963379,1
1773573017.7224138,0.550496,24.985191345214844,1
1773573018.1463435,0.554496,34.318939208984375,1
1773573018.1575294,0.53681,25.185192108154297,1
1773573018.5814555,0.56994,45.50735092163086,1
1773573018.5928473,0.549829,1.7850898504257202,1
1773573019.0167441,0.631791,50.50654602050781,1
1773573019.0279484,0.545384,1.7850898504257202,1
1773573019.4518867,0.55831,4.508403301239014,1
